,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
0,HM/COUGAR/AS532UL,000G2282,2019-01-01,,,,2851.0,
22301,145754555,M2227,2019-01-01,,484,285,10.2,0.0004237959328711183
223011,144569375,E3774,2019-01-01,,5609,3309,10.2,2.298611284512475e-05
223012,144569375,E3780,2019-01-01,,5609,3309,10.2,2.298611284512475e-05
223013,144569375,E3781,2019-01-01,,5609,3309,10.2,2.298611284512475e-05
223014,144569375,E3782,2019-01-01,,5609,3309,10.2,2.298611284512475e-05
22304,144697141,521,2019-01-01,,12883,7601,10.2,9.76227608184832e-06
223041,144378713,12284,2019-01-01,,860,507,10.2,0.00019107536733092845
2250362,145426396,1944,2019-01-01,,4294,2533,0.0,2.964288544660132e-05
2250363,145426395,1265,2019-01-01,,4294,2533,10.2,3.0432456769036165e-05
2250364,145426409,2134,2019-01-01,,3143,1854,10.2,4.246086723247444e-05
2311-01,145426410,2282FAUX_SN004,2019-01-01,,1377,812,2851.0,3.5971230753772954e-05
2311-02,144727335,2282FAUX_SN005,2019-01-01,,1911,1127,2851.0,0.004207451987898125
2341-02,144315362,258,2019-01-01,,2389,1409,10.2,5.7262558871007396e-05
2341-03,144315362,223,2019-01-01,,2389,1409,10.2,5.7262558871007396e-05
2341-04,144315362,285,2019-01-01,,2389,1409,10.2,5.7262558871007396e-05
2341-05,145754554,278,2019-01-01,,649,383,394.9,0.022706929732174197
2352-01,145645296,2282FAUX_SN010,2019-01-01,,1001,590,2851.0,1.4437390172261644e-10
2352-02,195635296,2282FAUX_SN011,2019-01-01,,1049,619,2851.0,1.8690699543633116e-09
2352-03,195635297,2282FAUX_SN012,2019-01-01,,1049,619,2851.0,1.8690699543633116e-09
242010,144218101,2255,2019-01-01,,2459,1451,10.2,5.546926448202205e-05
242011,144218101,2253,2019-01-01,,2459,1451,10.2,5.546926448202205e-05
243010,144437160,2282FAUX_SN105,2019-01-01,,,,2851.0,
243011,144001897,2282FAUX_SN106,2019-01-01,,928,547,2851.0,1.1291523271950155e-12
243012,144001897,1929,2019-01-01,,928,547,10.2,0.0001734001587711531
243013,144437160,B04308,2019-01-01,,355,209,10.2,0.0006939944915278495
243110,145448226,2118,2019-01-01,,247,146,0.0,0.0008795596763718772
2510-01,144415152,320,2019-01-01,,11123,6562,10.2,1.1341273878362479e-05
2510-02,144415152,323,2019-01-01,,11123,6562,10.2,1.1341273878362479e-05
2510-03,145670516,2826,2019-01-01,,19112,11276,10.2,6.5396108346882365e-06
2564-01,145062523,269,2019-01-01,,4433,2616,10.2,2.9425184286835382e-05
2564-02,145062525,343,2019-01-01,,2102,1240,10.2,6.600453582644716e-05
2564-03,145062524,214,2019-01-01,,2102,1240,10.2,6.600453582644716e-05
2566-02,145362699,2282FAUX_SN044,2019-01-01,,888,524,2851.0,4.2521541843143495e-14
2621-01,143993630,2282FAUX_SN073,2019-01-01,,9603,5666,2851.0,0.000215301949140545
2621-02,143993630,2282FAUX_SN074,2019-01-01,,10033,5919,2851.0,0.0001863605309201377
2622-01,999839550,100979,2019-01-01,,9603,5666,10.2,1.3182604133799014e-05
2622-02,999839550,100984,2019-01-01,,9603,5666,10.2,1.3182604133799014e-05
2820-01,144181954,29685,2019-01-01,,4051,2390,10.2,3.2369280894062324e-05
2820-01,144181954,29685,2019-01-01,,4051,2390,10.2,3.2369280894062324e-05
2820-02,144181954,22535,2019-01-01,,4051,2390,10.2,3.2369280894062324e-05
2820-02,144181954,22535,2019-01-01,,4051,2390,10.2,3.2369280894062324e-05
2820-05,140400636,2282FAUX_SN045,2019-01-01,,2203,1300,2851.0,0.008798917780823257
291011,144820339,SN,2019-01-01,,683,403,300.0,0.009083341557055702
291012,144820338,2282FAUX_SN107,2019-01-01,,683,403,2851.0,0.0
291020,144472752,H799,2019-01-01,,742,438,1882.82,6.530333035437152e-08
291021,144472750,H1230,2019-01-01,,742,438,738.55,0.04296014996234439
292010,145512469,991,2019-01-01,,586,346,10.2,0.00032049797468608476
2920101,144417072,12830,2019-01-01,,614,362,10.2,0.00030009593015728475
